Unnamed: 0,date,crime_rate,state,crime_rate_filled,year,month
1912,1985-01-01,505.74,California,505.74,1985,1
1913,1985-02-01,463.92,California,463.92,1985,2
1914,1985-03-01,504.97,California,504.97,1985,3
1915,1985-04-01,491.76,California,491.76,1985,4
1916,1985-05-01,484.5,California,484.5,1985,5
1917,1985-06-01,457.09,California,457.09,1985,6
1918,1985-07-01,499.23,California,499.23,1985,7
1919,1985-08-01,502.99,California,502.99,1985,8
1920,1985-09-01,456.28,California,456.28,1985,9
1921,1985-10-01,491.23,California,491.23,1985,10
1922,1985-11-01,466.16,California,466.16,1985,11
1923,1985-12-01,507.02,California,507.02,1985,12
1924,1986-01-01,510.6,California,510.6,1986,1
1925,1986-02-01,467.01,California,467.01,1986,2
1926,1986-03-01,506.5,California,506.5,1986,3
1927,1986-04-01,485.57,California,485.57,1986,4
1928,1986-05-01,475.7,California,475.7,1986,5
1929,1986-06-01,475.66,California,475.66,1986,6
1930,1986-07-01,493.44,California,493.44,1986,7
1931,1986-08-01,552.1,California,552.1,1986,8
1932,1986-09-01,476.03,California,476.03,1986,9
1933,1986-10-01,499.31,California,499.31,1986,10
1934,1986-11-01,471.53,California,471.53,1986,11
1935,1986-12-01,501.12,California,501.12,1986,12
1936,1987-01-01,496.11,California,496.11,1987,1
1937,1987-02-01,464.81,California,464.81,1987,2
1938,1987-03-01,510.67,California,510.67,1987,3
1939,1987-04-01,463.83,California,463.83,1987,4
1940,1987-05-01,452.6,California,452.6,1987,5
1941,1987-06-01,451.88,California,451.88,1987,6
1942,1987-07-01,474.09,California,474.09,1987,7
1943,1987-08-01,473.91,California,473.91,1987,8
1944,1987-09-01,454.09,California,454.09,1987,9
1945,1987-10-01,463.22,California,463.22,1987,10
1946,1987-11-01,461.75,California,461.75,1987,11
1947,1987-12-01,489.12,California,489.12,1987,12
1948,1988-01-01,498.8,California,498.8,1988,1
1949,1988-02-01,470.39,California,470.39,1988,2
1950,1988-03-01,492.43,California,492.43,1988,3
1951,1988-04-01,452.63,California,452.63,1988,4
1952,1988-05-01,476.33,California,476.33,1988,5
1953,1988-06-01,466.26,California,466.26,1988,6
1954,1988-07-01,486.33,California,486.33,1988,7
1955,1988-08-01,502.56,California,502.56,1988,8
1956,1988-09-01,460.19,California,460.19,1988,9
1957,1988-10-01,496.19,California,496.19,1988,10
1958,1988-11-01,486.95,California,486.95,1988,11
1959,1988-12-01,495.73,California,495.73,1988,12
1960,1989-01-01,498.17,California,498.17,1989,1
1961,1989-02-01,462.54,California,462.54,1989,2
1962,1989-03-01,521.44,California,521.44,1989,3
1963,1989-04-01,475.83,California,475.83,1989,4
1964,1989-05-01,508.48,California,508.48,1989,5
1965,1989-06-01,483.04,California,483.04,1989,6
1966,1989-07-01,500.56,California,500.56,1989,7
1967,1989-08-01,503.03,California,503.03,1989,8
1968,1989-09-01,459.15,California,459.15,1989,9
1969,1989-10-01,484.42,California,484.42,1989,10
1970,1989-11-01,473.05,California,473.05,1989,11
1971,1989-12-01,477.9,California,477.9,1989,12
1972,1990-01-01,495.73,California,495.73,1990,1
1973,1990-02-01,446.56,California,446.56,1990,2
1974,1990-03-01,491.52,California,491.52,1990,3
1975,1990-04-01,468.17,California,468.17,1990,4
1976,1990-05-01,470.02,California,470.02,1990,5
1977,1990-06-01,442.41,California,442.41,1990,6
1978,1990-07-01,472.71,California,472.71,1990,7
1979,1990-08-01,482.14,California,482.14,1990,8
1980,1990-09-01,447.05,California,447.05,1990,9
1981,1990-10-01,475.75,California,475.75,1990,10
1982,1990-11-01,450.25,California,450.25,1990,11
1983,1990-12-01,470.7,California,470.7,1990,12
1984,1991-01-01,492.04,California,492.04,1991,1
1985,1991-02-01,447.47,California,447.47,1991,2
1986,1991-03-01,487.77,California,487.77,1991,3
1987,1991-04-01,466.37,California,466.37,1991,4
1988,1991-05-01,472.47,California,472.47,1991,5
1989,1991-06-01,448.5,California,448.5,1991,6
1990,1991-07-01,489.48,California,489.48,1991,7
1991,1991-08-01,489.96,California,489.96,1991,8
1992,1991-09-01,465.09,California,465.09,1991,9
1993,1991-10-01,499.13,California,499.13,1991,10
1994,1991-11-01,475.29,California,475.29,1991,11
1995,1991-12-01,499.16,California,499.16,1991,12
1996,1992-01-01,502.41,California,502.41,1992,1
1997,1992-02-01,466.28,California,466.28,1992,2
1998,1992-03-01,494.83,California,494.83,1992,3
1999,1992-04-01,458.77,California,458.77,1992,4
2000,1992-05-01,455.15,California,455.15,1992,5
2001,1992-06-01,465.76,California,465.76,1992,6
2002,1992-07-01,480.18,California,480.18,1992,7
2003,1992-08-01,474.48,California,474.48,1992,8
2004,1992-09-01,447.37,California,447.37,1992,9
2005,1992-10-01,463.56,California,463.56,1992,10
2006,1992-11-01,452.98,California,452.98,1992,11
2007,1992-12-01,473.49,California,473.49,1992,12
2008,1993-01-01,477.3,California,477.3,1993,1
2009,1993-02-01,433.58,California,433.58,1993,2
2010,1993-03-01,487.54,California,487.54,1993,3
2011,1993-04-01,448.53,California,448.53,1993,4
2012,1993-05-01,445.84,California,445.84,1993,5
2013,1993-06-01,442.2,California,442.2,1993,6
2014,1993-07-01,460.13,California,460.13,1993,7
2015,1993-08-01,468.45,California,468.45,1993,8
2016,1993-09-01,440.95,California,440.95,1993,9
2017,1993-10-01,447.41,California,447.41,1993,10
2018,1993-11-01,441.98,California,441.98,1993,11
2019,1993-12-01,450.11,California,450.11,1993,12
2020,1994-01-01,448.03,California,448.03,1994,1
2021,1994-02-01,422.94,California,422.94,1994,2
2022,1994-03-01,452.25,California,452.25,1994,3
2023,1994-04-01,424.11,California,424.11,1994,4
2024,1994-05-01,436.58,California,436.58,1994,5
2025,1994-06-01,423.72,California,423.72,1994,6
2026,1994-07-01,430.65,California,430.65,1994,7
2027,1994-08-01,440.06,California,440.06,1994,8
2028,1994-09-01,412.13,California,412.13,1994,9
2029,1994-10-01,435.85,California,435.85,1994,10
2030,1994-11-01,433.18,California,433.18,1994,11
2031,1994-12-01,454.31,California,454.31,1994,12
2032,1995-01-01,453.08,California,453.08,1995,1
2033,1995-02-01,407.78,California,407.78,1995,2
2034,1995-03-01,440.01,California,440.01,1995,3
2035,1995-04-01,401.93,California,401.93,1995,4
2036,1995-05-01,414.35,California,414.35,1995,5
2037,1995-06-01,388.58,California,388.58,1995,6
2038,1995-07-01,397.57,California,397.57,1995,7
2039,1995-08-01,413.15,California,413.15,1995,8
2040,1995-09-01,384.6,California,384.6,1995,9
2041,1995-10-01,400.23,California,400.23,1995,10
2042,1995-11-01,383.74,California,383.74,1995,11
2043,1995-12-01,386.87,California,386.87,1995,12
2044,1996-01-01,407.66,California,407.66,1996,1
2045,1996-02-01,375.46,California,375.46,1996,2
2046,1996-03-01,388.86,California,388.86,1996,3
2047,1996-04-01,364.55,California,364.55,1996,4
2048,1996-05-01,364.89,California,364.89,1996,5
2049,1996-06-01,344.37,California,344.37,1996,6
2050,1996-07-01,373.03,California,373.03,1996,7
2051,1996-08-01,360.8,California,360.8,1996,8
2052,1996-09-01,342.81,California,342.81,1996,9
2053,1996-10-01,361.66,California,361.66,1996,10
2054,1996-11-01,347.47,California,347.47,1996,11
2055,1996-12-01,372.53,California,372.53,1996,12
2056,1997-01-01,373.94,California,373.94,1997,1
2057,1997-02-01,335.31,California,335.31,1997,2
2058,1997-03-01,357.08,California,357.08,1997,3
2059,1997-04-01,346.15,California,346.15,1997,4
2060,1997-05-01,339.34,California,339.34,1997,5
2061,1997-06-01,332.16,California,332.16,1997,6
2062,1997-07-01,352.55,California,352.55,1997,7
2063,1997-08-01,340.58,California,340.58,1997,8
2064,1997-09-01,325.26,California,325.26,1997,9
2065,1997-10-01,344.29,California,344.29,1997,10
2066,1997-11-01,320.41,California,320.41,1997,11
2067,1997-12-01,347.54,California,347.54,1997,12
2068,1998-01-01,339.73,California,339.73,1998,1
2069,1998-02-01,313.02,California,313.02,1998,2
2070,1998-03-01,339.85,California,339.85,1998,3
2071,1998-04-01,308.92,California,308.92,1998,4
2072,1998-05-01,311.63,California,311.63,1998,5
2073,1998-06-01,302.1,California,302.1,1998,6
2074,1998-07-01,301.62,California,301.62,1998,7
2075,1998-08-01,299.46,California,299.46,1998,8
2076,1998-09-01,286.95,California,286.95,1998,9
2077,1998-10-01,295.34,California,295.34,1998,10
2078,1998-11-01,283.15,California,283.15,1998,11
2079,1998-12-01,300.28,California,300.28,1998,12
2080,1999-01-01,300.03,California,300.03,1999,1
2081,1999-02-01,263.45,California,263.45,1999,2
2082,1999-03-01,289.41,California,289.41,1999,3
2083,1999-04-01,263.14,California,263.14,1999,4
2084,1999-05-01,262.3,California,262.3,1999,5
2085,1999-06-01,264.05,California,264.05,1999,6
2086,1999-07-01,271.93,California,271.93,1999,7
2087,1999-08-01,269.95,California,269.95,1999,8
2088,1999-09-01,251.04,California,251.04,1999,9
2089,1999-10-01,260.58,California,260.58,1999,10
2090,1999-11-01,256.89,California,256.89,1999,11
2091,1999-12-01,268.2,California,268.2,1999,12
2092,2000-01-01,270.03,California,270.03,2000,1
2093,2000-02-01,256.07,California,256.07,2000,2
2094,2000-03-01,268.76,California,268.76,2000,3
2095,2000-04-01,247.38,California,247.38,2000,4
2096,2000-05-01,263.98,California,263.98,2000,5
2097,2000-06-01,258.22,California,258.22,2000,6
2098,2000-07-01,267.69,California,267.69,2000,7
2099,2000-08-01,272.46,California,272.46,2000,8
2100,2000-09-01,250.31,California,250.31,2000,9
2101,2000-10-01,266.26,California,266.26,2000,10
2102,2000-11-01,263.54,California,263.54,2000,11
2103,2000-12-01,273.32,California,273.32,2000,12
2104,2001-01-01,278.32,California,278.32,2001,1
2105,2001-02-01,245.65,California,245.65,2001,2
2106,2001-03-01,272.89,California,272.89,2001,3
2107,2001-04-01,260.7,California,260.7,2001,4
2108,2001-05-01,271.71,California,271.71,2001,5
2109,2001-06-01,265.44,California,265.44,2001,6
2110,2001-07-01,285.56,California,285.56,2001,7
2111,2001-08-01,285.87,California,285.87,2001,8
2112,2001-09-01,270.59,California,270.59,2001,9
2113,2001-10-01,303.74,California,303.74,2001,10
2114,2001-11-01,283.76,California,283.76,2001,11
2115,2001-12-01,303.13,California,303.13,2001,12
2116,2002-01-01,308.5,California,308.5,2002,1
2117,2002-02-01,263.95,California,263.95,2002,2
2118,2002-03-01,283.33,California,283.33,2002,3
2119,2002-04-01,277.71,California,277.71,2002,4
2120,2002-05-01,285.5,California,285.5,2002,5
2121,2002-06-01,269.55,California,269.55,2002,6
2122,2002-07-01,285.29,California,285.29,2002,7
2123,2002-08-01,280.8,California,280.8,2002,8
2124,2002-09-01,273.18,California,273.18,2002,9
2125,2002-10-01,292.72,California,292.72,2002,10
2126,2002-11-01,278.76,California,278.76,2002,11
2127,2002-12-01,293.32,California,293.32,2002,12
2128,2003-01-01,296.2,California,296.2,2003,1
2129,2003-02-01,262.16,California,262.16,2003,2
2130,2003-03-01,289.09,California,289.09,2003,3
2131,2003-04-01,287.08,California,287.08,2003,4
2132,2003-05-01,289.99,California,289.99,2003,5
2133,2003-06-01,280.12,California,280.12,2003,6
2134,2003-07-01,286.67,California,286.67,2003,7
2135,2003-08-01,283.57,California,283.57,2003,8
2136,2003-09-01,284.31,California,284.31,2003,9
2137,2003-10-01,296.37,California,296.37,2003,10
2138,2003-11-01,287.39,California,287.39,2003,11
2139,2003-12-01,320.75,California,320.75,2003,12
2140,2004-01-01,302.34,California,302.34,2004,1
2141,2004-02-01,271.24,California,271.24,2004,2
2142,2004-03-01,299.11,California,299.11,2004,3
2143,2004-04-01,287.08,California,287.08,2004,4
2144,2004-05-01,289.92,California,289.92,2004,5
2145,2004-06-01,281.87,California,281.87,2004,6
2146,2004-07-01,286.57,California,286.57,2004,7
2147,2004-08-01,286.15,California,286.15,2004,8
2148,2004-09-01,267.44,California,267.44,2004,9
2149,2004-10-01,283.58,California,283.58,2004,10
2150,2004-11-01,286.83,California,286.83,2004,11
2151,2004-12-01,305.1,California,305.1,2004,12
2152,2005-01-01,300.63,California,300.63,2005,1
2153,2005-02-01,263.68,California,263.68,2005,2
2154,2005-03-01,289.53,California,289.53,2005,3
2155,2005-04-01,276.82,California,276.82,2005,4
2156,2005-05-01,285.17,California,285.17,2005,5
2157,2005-06-01,275.8,California,275.8,2005,6
2158,2005-07-01,280.48,California,280.48,2005,7
2159,2005-08-01,276.81,California,276.81,2005,8
2160,2005-09-01,265.11,California,265.11,2005,9
2161,2005-10-01,281.28,California,281.28,2005,10
2162,2005-11-01,275.33,California,275.33,2005,11
2163,2005-12-01,281.22,California,281.22,2005,12
2164,2006-01-01,299.13,California,299.13,2006,1
2165,2006-02-01,250.8,California,250.8,2006,2
2166,2006-03-01,284.74,California,284.74,2006,3
2167,2006-04-01,267.08,California,267.08,2006,4
2168,2006-05-01,276.8,California,276.8,2006,5
2169,2006-06-01,257.12,California,257.12,2006,6
2170,2006-07-01,265.63,California,265.63,2006,7
2171,2006-08-01,268.01,California,268.01,2006,8
2172,2006-09-01,250.16,California,250.16,2006,9
2173,2006-10-01,264.85,California,264.85,2006,10
2174,2006-11-01,261.21,California,261.21,2006,11
2175,2006-12-01,276.21,California,276.21,2006,12
2176,2007-01-01,274.54,California,274.54,2007,1
2177,2007-02-01,239.81,California,239.81,2007,2
2178,2007-03-01,261.89,California,261.89,2007,3
2179,2007-04-01,256.96,California,256.96,2007,4
2180,2007-05-01,266.74,California,266.74,2007,5
2181,2007-06-01,248.43,California,248.43,2007,6
2182,2007-07-01,260.64,California,260.64,2007,7
2183,2007-08-01,259.35,California,259.35,2007,8
2184,2007-09-01,243.43,California,243.43,2007,9
2185,2007-10-01,260.42,California,260.42,2007,10
2186,2007-11-01,245.63,California,245.63,2007,11
2187,2007-12-01,256.88,California,256.88,2007,12
2188,2008-01-01,262.82,California,262.82,2008,1
2189,2008-02-01,238.13,California,238.13,2008,2
2190,2008-03-01,251.95,California,251.95,2008,3
2191,2008-04-01,247.96,California,247.96,2008,4
2192,2008-05-01,245.38,California,245.38,2008,5
2193,2008-06-01,237.6,California,237.6,2008,6
2194,2008-07-01,250.78,California,250.78,2008,7
2195,2008-08-01,245.8,California,245.8,2008,8
2196,2008-09-01,243.26,California,243.26,2008,9
2197,2008-10-01,254.02,California,254.02,2008,10
2198,2008-11-01,238.48,California,238.48,2008,11
2199,2008-12-01,253.87,California,253.87,2008,12
2200,2009-01-01,247.89,California,247.89,2009,1
2201,2009-02-01,214.53,California,214.53,2009,2
2202,2009-03-01,236.44,California,236.44,2009,3
2203,2009-04-01,227.44,California,227.44,2009,4
2204,2009-05-01,230.44,California,230.44,2009,5
2205,2009-06-01,227.1,California,227.1,2009,6
2206,2009-07-01,233.0,California,233.0,2009,7
2207,2009-08-01,230.17,California,230.17,2009,8
2208,2009-09-01,219.89,California,219.89,2009,9
2209,2009-10-01,228.85,California,228.85,2009,10
2210,2009-11-01,222.68,California,222.68,2009,11
2211,2009-12-01,236.03,California,236.03,2009,12
2212,2010-01-01,230.1,California,230.1,2010,1
2213,2010-02-01,207.95,California,207.95,2010,2
2214,2010-03-01,230.31,California,230.31,2010,3
2215,2010-04-01,218.42,California,218.42,2010,4
2216,2010-05-01,223.17,California,223.17,2010,5
2217,2010-06-01,217.43,California,217.43,2010,6
2218,2010-07-01,227.8,California,227.8,2010,7
2219,2010-08-01,227.39,California,227.39,2010,8
2220,2010-09-01,214.53,California,214.53,2010,9
2221,2010-10-01,217.49,California,217.49,2010,10
2222,2010-11-01,211.02,California,211.02,2010,11
2223,2010-12-01,231.79,California,231.79,2010,12
2224,2011-01-01,223.33,California,223.33,2011,1
2225,2011-02-01,185.88,California,185.88,2011,2
2226,2011-03-01,210.62,California,210.62,2011,3
2227,2011-04-01,208.75,California,208.75,2011,4
2228,2011-05-01,222.79,California,222.79,2011,5
2229,2011-06-01,216.08,California,216.08,2011,6
2230,2011-07-01,218.79,California,218.79,2011,7
2231,2011-08-01,225.0,California,225.0,2011,8
2232,2011-09-01,214.22,California,214.22,2011,9
2233,2011-10-01,220.42,California,220.42,2011,10
2234,2011-11-01,223.47,California,223.47,2011,11
2235,2011-12-01,236.9,California,236.9,2011,12
2236,2012-01-01,235.12,California,235.12,2012,1
2237,2012-02-01,207.82,California,207.82,2012,2
2238,2012-03-01,218.39,California,218.39,2012,3
2239,2012-04-01,219.67,California,219.67,2012,4
2240,2012-05-01,236.94,California,236.94,2012,5
2241,2012-06-01,225.91,California,225.91,2012,6
2242,2012-07-01,239.66,California,239.66,2012,7
2243,2012-08-01,238.54,California,238.54,2012,8
2244,2012-09-01,227.05,California,227.05,2012,9
2245,2012-10-01,246.15,California,246.15,2012,10
2246,2012-11-01,237.23,California,237.23,2012,11
2247,2012-12-01,245.73,California,245.73,2012,12
2248,2013-01-01,249.45,California,249.45,2013,1
2249,2013-02-01,206.24,California,206.24,2013,2
2250,2013-03-01,218.54,California,218.54,2013,3
2251,2013-04-01,222.46,California,222.46,2013,4
2252,2013-05-01,226.85,California,226.85,2013,5
2253,2013-06-01,212.2,California,212.2,2013,6
2254,2013-07-01,229.23,California,229.23,2013,7
2255,2013-08-01,230.17,California,230.17,2013,8
2256,2013-09-01,218.77,California,218.77,2013,9
2257,2013-10-01,229.03,California,229.03,2013,10
2258,2013-11-01,212.0,California,212.0,2013,11
2259,2013-12-01,222.62,California,222.62,2013,12
2260,2014-01-01,223.75,California,223.75,2014,1
2261,2014-02-01,187.54,California,187.54,2014,2
2262,2014-03-01,202.35,California,202.35,2014,3
2263,2014-04-01,202.92,California,202.92,2014,4
2264,2014-05-01,203.37,California,203.37,2014,5
2265,2014-06-01,200.88,California,200.88,2014,6
2266,2014-07-01,208.8,California,208.8,2014,7
2267,2014-08-01,201.71,California,201.71,2014,8
2268,2014-09-01,200.98,California,200.98,2014,9
2269,2014-10-01,207.56,California,207.56,2014,10
2270,2014-11-01,194.67,California,194.67,2014,11
2271,2014-12-01,224.96,California,224.96,2014,12
2272,2015-01-01,230.82,California,230.82,2015,1
2273,2015-02-01,199.01,California,199.01,2015,2
2274,2015-03-01,217.17,California,217.17,2015,3
2275,2015-04-01,214.51,California,214.51,2015,4
2276,2015-05-01,222.33,California,222.33,2015,5
2277,2015-06-01,217.5,California,217.5,2015,6
2278,2015-07-01,228.76,California,228.76,2015,7
2279,2015-08-01,223.73,California,223.73,2015,8
2280,2015-09-01,216.68,California,216.68,2015,9
2281,2015-10-01,220.25,California,220.25,2015,10
2282,2015-11-01,215.14,California,215.14,2015,11
2283,2015-12-01,231.0,California,231.0,2015,12
2284,2016-01-01,231.53,California,231.53,2016,1
2285,2016-02-01,204.81,California,204.81,2016,2
2286,2016-03-01,212.29,California,212.29,2016,3
2287,2016-04-01,207.95,California,207.95,2016,4
2288,2016-05-01,218.05,California,218.05,2016,5
2289,2016-06-01,204.54,California,204.54,2016,6
2290,2016-07-01,208.17,California,208.17,2016,7
2291,2016-08-01,219.1,California,219.1,2016,8
2292,2016-09-01,209.77,California,209.77,2016,9
2293,2016-10-01,219.17,California,219.17,2016,10
2294,2016-11-01,213.02,California,213.02,2016,11
2295,2016-12-01,224.38,California,224.38,2016,12
2296,2017-01-01,229.73,California,229.73,2017,1
2297,2017-02-01,202.22,California,202.22,2017,2
2298,2017-03-01,214.46,California,214.46,2017,3
2299,2017-04-01,206.97,California,206.97,2017,4
2300,2017-05-01,211.26,California,211.26,2017,5
2301,2017-06-01,200.01,California,200.01,2017,6
2302,2017-07-01,208.46,California,208.46,2017,7
2303,2017-08-01,208.96,California,208.96,2017,8
2304,2017-09-01,202.28,California,202.28,2017,9
2305,2017-10-01,215.53,California,215.53,2017,10
2306,2017-11-01,206.32,California,206.32,2017,11
2307,2017-12-01,212.55,California,212.55,2017,12
2308,2018-01-01,221.27,California,221.27,2018,1
2309,2018-02-01,184.28,California,184.28,2018,2
2310,2018-03-01,198.32,California,198.32,2018,3
2311,2018-04-01,193.48,California,193.48,2018,4
2312,2018-05-01,204.83,California,204.83,2018,5
2313,2018-06-01,191.9,California,191.9,2018,6
2314,2018-07-01,201.45,California,201.45,2018,7
2315,2018-08-01,203.68,California,203.68,2018,8
2316,2018-09-01,192.26,California,192.26,2018,9
2317,2018-10-01,208.43,California,208.43,2018,10
2318,2018-11-01,195.95,California,195.95,2018,11
2319,2018-12-01,205.81,California,205.81,2018,12
2320,2019-01-01,205.84,California,205.84,2019,1
2321,2019-02-01,184.81,California,184.81,2019,2
2322,2019-03-01,194.78,California,194.78,2019,3
2323,2019-04-01,191.75,California,191.75,2019,4
2324,2019-05-01,198.86,California,198.86,2019,5
2325,2019-06-01,185.23,California,185.23,2019,6
2326,2019-07-01,199.99,California,199.99,2019,7
2327,2019-08-01,199.49,California,199.49,2019,8
2328,2019-09-01,191.41,California,191.41,2019,9
2329,2019-10-01,203.41,California,203.41,2019,10
2330,2019-11-01,186.8,California,186.8,2019,11
2331,2019-12-01,207.11,California,207.11,2019,12
2332,2020-01-01,207.82,California,207.82,2020,1
2333,2020-02-01,187.17,California,187.17,2020,2
2334,2020-03-01,178.11,California,178.11,2020,3
2335,2020-04-01,174.17,California,174.17,2020,4
2336,2020-05-01,187.16,California,187.16,2020,5
2337,2020-06-01,188.6,California,188.6,2020,6
2338,2020-07-01,181.83,California,181.83,2020,7
2339,2020-08-01,164.47,California,164.47,2020,8
2340,2020-09-01,156.47,California,156.47,2020,9
2341,2020-10-01,169.96,California,169.96,2020,10
2342,2020-11-01,179.33,California,179.33,2020,11
2343,2020-12-01,193.57,California,193.57,2020,12
2344,2021-01-01,137.74,California,137.74,2021,1
2345,2021-02-01,122.52,California,122.52,2021,2
2346,2021-03-01,118.23,California,118.23,2021,3
2347,2021-04-01,114.27,California,114.27,2021,4
2348,2021-05-01,137.29,California,137.29,2021,5
2349,2021-06-01,131.29,California,131.29,2021,6
2350,2021-07-01,140.13,California,140.13,2021,7
2351,2021-08-01,134.24,California,134.24,2021,8
2352,2021-09-01,135.68,California,135.68,2021,9
2353,2021-10-01,154.88,California,154.88,2021,10
